E1-01,Normal (2/4),Pulse Ball,2,5,1,,Attack 1 on all zones,Attack 1 on all zones,Attack 2 on all zones,-
E1-02,Normal (2/4),Destroyer,2,5,2,,Attack 1,Attack 2,Attack 2,Double damage that gets through shields
E1-03,Normal (2/4),Stealth Fighter,4,4,2,,Reveals itself,Attack 2,Attack 2,Cannot be targeted until it reveals itself (X)
E1-04,Normal (2/4),Energy Cloud,2,5,3,,Drains all energy from all shields,Attack 1 on other two zones,Attack 2 on other two zones,Has 0 shield points on turns when hit by pulse cannon
E1-05,Normal (2/4),Gunship,2,5,2,,Attack 2,Attack 2,Attack 3,-
E1-06,Normal (2/4),Cryoshield Fighter,3,4,1,,Attack 1,Attack 2,Attack 2,"When hit the first time, it receives no damage.
Hits on later turns do normal damage."
E1-07,Normal (2/4),Fighter,3,4,2,,Attack 1,Attack 2,Attack 3,-
E1-08,Normal (2/4),Armored Grappler,2,4,3,,Attack 1,Repairs 1 damage,Attack 4,-
E1-09,Normal (2/4),Amoeba,2,8,0,,Heals 2 damage,Heals 2 damage,Attack 5,Cannot be targeted by rockets
E1-10,Normal (2/4),Meteoroid,5,5,0,,-,-,Attack equal to its remaining hit points,Cannot be targeted by rockets
SE1-01,Serious (4/8),Frigate,2,7,2,,Attack 2,Attack 3,Attack 4,-
SE1-02,Serious (4/8),Man-Of-War,1,9,2,,"Attack 2
+1 Speed","Attack 3
+1 Shield point",Attack 5,-
SE1-03,Serious (4/8),Leviathan Tanker,2,8,3,,Attack 2,"Attack 2
Repair 2 damage",Attack 2,"If destroyed, it does 1 damage to all other external threats"
SE1-04,Serious (4/8),Pulse Satellite,3,4,2,,Attack 1 on all zones,Attack 2 on all zones,Attack 3 on all zones,Cannot be targeted at distance 3
SE1-05,Serious (4/8),Cryoshield Frigate,2,7,1,,Attack 2,Attack 3,Attack 4,"When hit the first time, it receives no damage.
Hits on later turns do normal damage."
SE1-06,Serious (4/8),Interstellar Octopus,2,8,1,,"If damaged, attack 1 on all zones","If damaged, attack 2 on all zones",Attack 2 per remaining hit point,Cannot be targeted by rockets
SE1-07,Serious (4/8),Maelstrom,,,,,Drains all energy from all shields,Attack 2 on other two zones,Attack 3 on other two zones,Has 0 shield points on turns when hit by pulse cannon
SE1-08,Serious (4/8),Asteroid,3,9,0,,-,-,Attack equal to its remaining hit points,"Cannot be targeted by rockets
When destroyed, attack 2 for each X and Y square it has passed"
E2-01,Advanced Normal (3/6),Kamikaze,4,5,2,,"+1 Speed
Shield points = 1","+1 Speed
Shield points = 0",Attack 6,-
E2-02,Advanced Normal (3/6),Scout,2,3,1,,"Until destroyed, other external threats
have +1 to attacks",Other external threats advance 1 square,"Attack 3, ignoring shields
(+1 to attacks persists)",Cannot be targeted by heavy laser cannons
E2-03,Advanced Normal (3/6),Phantom Fighter,3,3,3,,Reveals itself,Attack 2,Attack 3,"Cannot be targeted until it reveals itself (X)
Decoy: rockets target it, but do not hit it"
E2-04,Advanced Normal (3/6),Swarm,2,3,0,,Attack 1,"Attack 2
Attack 1 on other zones","Attack 3
Attack 2 on other zones","Cannot be targeted by rockets
Does not take more than 1 damage per turn"
